image_id,question,answer
"273275,ccb840000d91e6f7.jpg","Although at least three people are wearing glasses and one individual holds a camera, there is not a single person in the group with crossed arms or visibly wearing a hat.",TRUE
"273271,20c260008043e030.jpg","Although four people are sitting upright on the couch and at least two are wearing glasses, only the person lying across their laps is both barefoot and laughing with her head tilted back.",TRUE
"273271,2fb52000b8957210.jpg","The player with the basketball is looking toward a teammate who is positioned outside the three-point line, suggesting they're about to make a long pass rather than attempt a shot.",FALSE
"273275,b697c0009c79a567.jpg",The man holding the sign with a painted flag is wearing a hat that has a matching flag design.,FALSE
"273275,a4dba00020612aa5.jpg","Only one person in the group is jumping while the rest are standing still, making it seem like a coordinated action.",FALSE
"273275,13b2460002212561c.jpg","Although all eight people are standing and holding certificates, only two have both arms visibly bent at the elbows, and neither of these two is wearing a jacket or blazer.",FALSE
"273278,10f23400015356902.jpg","Although there are multiple people visible, only one person is playing a string instrument while seated on the ground, and none of the seated individuals are making direct eye contact with the camera.",TRUE
"273275,9ef58000433d7e7c.jpg","Although there are at least four people holding food items, none of them are seated, and only one person wearing a white shirt with a blue lanyard is entirely outside the maroon sweater dress code.",TRUE
"273275,e123c000f4ec2a88.jpg","Although there are at least five people partially visible in the image, only one person is both crossing their arms and wearing eyeglasses, while none of the visible individuals are holding any object in their hands.",TRUE
"273278,10f1b3000355b381c.jpg","The bags displayed prominently in the foreground are labeled with the name of a city other than Berlin, suggesting they are souvenirs from a different place entirely.",FALSE
"273275,f246c000a90a7a4a.jpg","The man behind the market stall is holding an eggplant while a customer in the background is pointing at a different vegetable, suggesting a potential misunderstanding or miscommunication about what is being requested.",FALSE
"273278,2d8b400050cc75d7.jpg","Although there are at least three people carrying luggage and at least two people wearing hats, there is no one standing still directly beneath any of the hanging globe lights.",TRUE
"273275,13a8c7000ab02c22d.jpg","Although there are dozens of people near the large egg-shaped structure, none are standing directly in front of its base, and at least three people nearby are wearing hats, but not a single person is holding an umbrella.",TRUE
"273275,52ccf00095e29897.jpg","Although there are at least five people with bicycles, none of them are currently riding, and only one person with a visible bicycle is seated while the others are all standing.",FALSE
"273275,13523000e293f8e7.jpg","Despite the presence of at least four women carrying handbags and a majority of pedestrians walking towards the camera, not a single person in the foreground is holding a visible mobile phone or looking downward, and there is no one sitting anywhere in the visible scene.",FALSE
"273275,40d9800043adaf27.jpg","Although several people are walking on the street, not a single person standing is holding an umbrella, and only those seated at the central table are partially shaded by a green umbrella.",TRUE
"273275,61ac3000645f2313.jpg","Although no one in the group is sitting or holding any object, exactly two people have their hands clasped together in front of them while not making direct eye contact with the camera.",FALSE
"273275,4221000ce078d8e.jpg",The car is parked perfectly parallel to the curb with no damage visible on its front bumper.,FALSE
"273278,3dd1c000aa319d52.jpg","The platform sign in the image clearly indicates that the train is headed northbound, which contradicts the passengers boarding the train on the left side with the doors open.",FALSE
"273275,14271a0005f0ea768.jpg","The person wearing a black ski mask and red-lined jacket is subtly guiding the group by holding the banner at the front, indicating a leadership role despite the presence of uniformed individuals nearby.",FALSE
"273271,1c3c10003afd20b9.jpg","Although all five people are holding pizza slices, none of them are looking directly at their own slice, and only the man in the white shirt has his left arm fully extended.",FALSE
"273278,12fe80000de9455f6.jpg","If the person in the red vest continues extending his arm forward, he will accidentally hand the food item to a person who is distracted and looking in the opposite direction, rather than to the intended customer in front of him.",FALSE
"273275,109d63000a83b4efd.jpg","Although there are at least three people whose hands are completely hidden, none of the men in the front row are crossing their arms, and exactly one woman in the front row is holding a visible object.",TRUE
"273275,11416a00086968256.jpg","The person with the crutches is holding a trophy in their left hand, celebrating a recent victory.",FALSE
"273275,14514e000a7fba999.jpg","Despite being at a breast cancer awareness walk, the person leading the group is walking a dog wearing a tiny superhero cape, which is barely visible due to the angle and crowd.",FALSE
"273275,a029e00027cdf965.jpg","The person wearing a chef's jacket is standing next to someone in casual clothing, suggesting a surprising collaborative activity rather than a typical hierarchical kitchen setting.",FALSE
"273275,7cf41000cfb00518.jpg","Although the central figure is wearing headphones and a chain, he is neither making eye contact with any camera nor is his left arm being touched by anyone, while at least two uniformed officers are partially visible behind him.",TRUE
"273278,8ce50000b3384443.jpg","Although most people in the group are either standing or crouching and wearing running shoes, at least one person is both sitting with their legs extended and not making eye contact with the camera, while another is partially obscured behind a sign and not touching the ground with their hands.",FALSE
"273275,109d1700056cb2342.jpg","Neither of the two men in the foreground has his hands visible above the table, both are wearing white shirts under black blazers, and only one glass of water is directly in front of each.",TRUE
"273278,6e86f00041618864.jpg","The person with a large backpack is standing so that they are blocking the entrance to the bus, which is causing people to queue awkwardly and creating a bottleneck at the door.",FALSE
"273271,253d0000e6df8661.jpg",The player attempting the layup is being closely guarded by two opponents who are both jumping to block the shot.,FALSE
"273275,bb7b6000e9729021.jpg","A monkey on the woman's head is reaching out to touch another monkey, creating a precarious balance that could easily disrupt if she moves.",FALSE
"273275,2ee2400005756c5d.jpg",The person in the yellow shirt is handing out flyers to promote the souvenir shop behind him.,FALSE
"273275,4c0bf000baed71e5.jpg","Although there are at least three people wearing backpacks and two people sitting on the ground, not a single person in the image is both wearing a hat and holding anything in their hands.",TRUE
"273278,8ba66000a22331ed.jpg","Although at least two people in the group are wearing superhero socks, only the person on the far left displays socks matching their shirtâ€™s logo, while neither of the two rightmost people are wearing headbands.",TRUE
"273275,7c97300097b8ebce.jpg","Although all individuals are wearing white shirts with red writing, not a single person in the front row is standing, and exactly one person on the far right is wearing glasses and crouching with both hands on their knees.",TRUE
"273275,fe8f5000a8614520.jpg","The person in civilian clothing is shaking hands with the uniformed individual holding a rifle, suggesting a role reversal where the guard is being greeted formally.",FALSE
"273271,231d6000c0482729.jpg","Although all fourteen players are standing, exactly one has both hands on another playerâ€™s shoulders, none are wearing matching shoes, and at least two have their arms crossed in front of their chests.",FALSE
"273271,f3880001eabf64c.jpg","Although there are at least four people wearing shirts with the word ""DALBY,"" not a single person in the front row is crossing their arms, and only one person in the entire group is both wearing a cap and looking directly at the camera.",FALSE
"273278,11efb10008ff5dbd4.jpg","A cyclist on the left is about to collide with the back of a double-decker bus, which is stationary at the crosswalk.",FALSE
"273275,fcbaf0003684b0eb.jpg","The man in the blue suit is leaning forward slightly as he shakes hands, suggesting he is offering a greeting, while the person in the background holding a black bag is smiling and observing the interaction.",TRUE
"273278,6d674000f1d4782e.jpg","Although there are two uniformed men present, only the one on the left is facing away from the camera, while the other stands in the center with his arms completely visible and is the only adult wearing a light-colored tie.",FALSE
"273275,17e360003e90d54e.jpg","The image shows a completely empty road leading to the Arc de Triomphe, with no vehicles or pedestrians in sight, suggesting a quiet, serene moment in the city.",FALSE
"273275,c2ffe0001e01b0a0.jpg","Despite the serious message on the banner, one person in the group is holding a cup of coffee, suggesting a casual demeanor amidst the protest.",FALSE
"273275,a8ff60006e1af9e4.jpg","Although there are more children wearing red or yellow vests than black ones, only the three children in black vests are holding papers, and none of them are facing away from the camera.",TRUE
"273275,10276e000e1d76e29.jpg","Despite there being at least four individuals partially obscured behind shields, none of the visible people are crossing their arms, and exactly one person wears a garment with bright geometric patterns on their legs.",TRUE
"273278,7d45000023e3375a.jpg","The people in the image are wearing identical uniforms, indicating they are part of a sports team welcoming new players.",FALSE
"273275,e1c020008b3d5d76.jpg","Although every person visible on the left side of the staircase is either wearing or holding a green Statue of Liberty crown, at least three people on the right side are neither wearing nor visibly holding one, and no one is facing directly toward the camera.",TRUE
"273275,72bf4000accf90e8.jpg","Although none of the people visible are facing the camera, at least two individuals are holding up smartphones, only one personâ€™s backpack has a visible floral pattern, and no one is wearing a hat with a brim.",TRUE
"273278,9b81f00026fd6a46.jpg","Although there are at least four children visible, none of the girls in the foreground are making eye contact with each other, and exactly one of them is wearing a necklace.",TRUE
"273271,22570000a5f2ea98.jpg","The woman in the brown sweater is holding a small dog on her lap, which is looking directly at the camera.",FALSE
"273275,1eb9700003195689.jpg","There are at least three people whose arms are not visible at all, no one is wearing a hat, and exactly one person in the foreground is holding hands with another.",FALSE
"273275,144e25000236d154d.jpg","Despite the crowd of people, a road worker in an orange vest is the only one standing on the grass, seemingly preparing to fix the fence.",FALSE
"273275,db34b00097770306.jpg","Although there are at least four people holding papers, none of the seated individuals are holding any objects, and only one person wearing glasses is sitting in the front row.",FALSE
"273275,1423f8000d379247d.jpg","Although all three men in the foreground are wearing jackets or suits, only the man in the middle is neither shaking hands nor smiling, and none of them are wearing red hats.",FALSE
"273275,f21730003b00415d.jpg","The person standing on the far left is holding a large bouquet of flowers, clearly visible above their waist, suggesting they are being celebrated for an achievement.",FALSE
"273275,115dc000a61e09c0.jpg","Although there are at least three people wearing hats and at least two carrying shopping bags, no individual is simultaneously both wearing a hat and visibly holding a shopping bag.",TRUE
"273278,12dc8c0004ba51534.jpg","The person in the foreground is confidently riding a skateboard, with both feet firmly on the board, while maintaining perfect balance and showing no signs of needing to stabilize with his hands.",FALSE
"273275,9377000825c07a4.jpg","Although there are at least three people wearing shorts, none of them are standing still, and not a single person in the visible crowd is holding an umbrella or looking directly at the camera.",TRUE
"273275,cd6aa0003bde5924.jpg","The motorcycle and the car are separated by a thick, solid wall that prevents any direct interaction between them.",FALSE
"273275,9792d000277c9395.jpg","Although all five people are holding wine glasses, only one man is present, and none of the women are crossing their arms or looking directly at anyone else in the group.",FALSE
"273275,145967000ebcfc9eb.jpg","The person standing with their back to the camera is addressing the group while holding a stopwatch, suggesting they are the coach or instructor, despite the casual attire that matches the group.",FALSE
"273271,224f0000ddc0e697.jpg","The man in the white shirt and hat is leading the group, while holding a tablet, which is partly obscured by plants at the bottom of the image.",FALSE
"273275,6b37d000d1ce7e07.jpg","The woman leading the group is holding a small flag, and among the group, one person on the left is wearing sunglasses despite facing the building.",FALSE
"273275,11767e0006470e735.jpg","The person standing on the far left of the back row is the tallest in the group, even though they are wearing flat shoes.",TRUE
"273275,78a24000e2756c3d.jpg","Despite being in a gym setting, the person in the back left is holding a cone, suggesting an unexpected role as a coach or instructor rather than a participant.",FALSE
"273275,1272a40002f378780.jpg","The elderly woman seated near the tree is holding a cane in her other hand, which is partially obscured by her shawl.",FALSE
"273271,18d9000007ace6c9.jpg","Although all visible attendees are seated and facing forward, none have their arms crossed, and exactly one person is standing and operating a camera while partially obscured by a column.",FALSE
"273278,6d07c000043d8a25.jpg","If the bus continues moving forward, it will pass under a clock that is hanging above the platform, which is not immediately obvious due to the presence of multiple lights and structural elements competing for attention.",FALSE
"273278,8bc03000e0799427.jpg","Despite the large group of people posing enthusiastically for a photo, there is a single person in the middle holding a bright green plant, suggesting a celebration or special occasion that is not immediately obvious from the rest of the scene.",FALSE
"273275,d161900001d998e7.jpg","Although there are at least five people visible on the main floor, none are seated, and exactly one individual on the staircase is ascending while looking toward their left.",FALSE
"273275,144d180008b7dd05e.jpg","In the image, there are only two people wearing hats in the entire crowd, suggesting a rare style choice among the group.",FALSE
"273275,11ea46000d72b74d8.jpg",The person in the center of the image is holding a flashlight that is illuminating the faces of the people kneeling in front of him.,FALSE
"273275,e810c0007508cddc.jpg","Despite appearing to be an intense negotiation, the man labeled ""1"" is subtly handing a pen to the man labeled ""3,"" indicating the finalization of an agreement, a detail easy to overlook in the crowded scene.",FALSE
"273278,3a04d000464900f5.jpg",The man in the plaid shirt standing in the middle of the platform is the only person looking directly at the camera while everyone else is facing toward the train.,FALSE
"273275,68c040007d5a96e4.jpg","The group of people in the image is gathered around a small replica of the Eiffel Tower, which stands at just a few feet tall, positioned directly behind them.",FALSE
"273275,5f86f000dd476e6e.jpg","Despite seeming like a casual group photo, the person on the far left is holding a small trophy, partially obscured by their arm and the angle of the photo.",FALSE
"273275,d72e80008e412ce3.jpg","The man on the far right is holding a paper that appears to be the menu from the restaurant, even though it seems like an unlikely item for someone standing outside.",FALSE
"273275,3151000b6945aee.jpg","The couple crossing the street is doing so against the light, and the pedestrian signal is clearly visible showing a red hand.",FALSE
"273271,1e78b000033a6a0c.jpg","The person holding a drink is standing on the very edge of the group, but the glass they're holding is actually empty, despite the lively atmosphere suggesting otherwise.",FALSE
"273275,6e34100033e81485.jpg","The person on the left is showing a picture on their camera to a group, while a monk in the background appears to be observing them with interest.",FALSE
"273275,11e11100034c2e105.jpg","Although there are more women than men visible, exactly one child is being carried, none of the women in the foreground are wearing glasses, and only one personâ€™s hand is holding a pink bag.",TRUE
"273275,714a100026969f21.jpg","Among the people by the stairs, there is someone dressed in a bumblebee-like striped shirt, which initially seems out of place against the grand architectural backdrop.",TRUE
"273275,d48030004393ae9c.jpg","The woman in the foreground with short dark hair is holding a pen, suggesting she might be taking notes or sketching, even though she appears to be intently listening to someone out of frame.",FALSE
"273271,35ab0001091b896.jpg","The girl wearing the red cape is holding a volleyball in her left hand, which is clearly visible.",FALSE
"273275,b8aa3000ab1d320a.jpg","Although several people are walking in the same direction, only one person is pulling a red suitcase, none of the visible pedestrians are wearing bright-colored clothing, and no one is holding an umbrella.",TRUE
"273271,1a51000317893a5.jpg","The banner in the image reads ""2016 NAIA BASKETBALL"" and the team is celebrating their victory in a basketball championship.",FALSE
"273271,2225c000ab54d9c4.jpg","The group includes only one person wearing a bow tie, making it easy to identify him among the others.",TRUE
